ID,Loc,RAJ2000,DEJ2000,SNR,HRV,e_HRV,Teff,e_Teff,logg,e_logg,Vsini,[M/H],e_[M/H]
2M17052856+6617163,5765,256.369018,66.287865,261.31,-13.2457,0.014544,3883.857,66.042,4.8444,0.1216,2.54021,-0.323639,0.011371
2M17053115+6423465,2037,256.379814,64.396255,118.66,-9.83639,0.050725,3761.929,74.246,4.897,0.1202,5.77604,-0.285539,0.015162
2M17053171+3354056,2454,256.38215,33.901581,91.69,-1.94222,0.037675,3657.04,75.848,4.7721,0.1153,5.94689,-0.131409,0.015953
2M17053171+3354056,2386,256.38215,33.901581,117.78,-2.63743,0.026412,3688.188,72.08,4.823,0.1169,4.64387,-0.167629,0.014517
2M17053282+5740096,5762,256.386766,57.669357,261.33,-20.569799,0.013111,3718.861,64.142,4.825,0.1319,7.04515,-0.513209,0.014265
2M17054715+8614304,4528,256.446488,86.241783,110.33,22.048,0.026511,3678.419,73.929,4.716,0.1231,5.77604,-0.332109,0.016854
2M17054749+5745349,5762,256.447888,57.759712,151.63,-42.9203,0.019366,3958.153,73.588,4.7299,0.1177,3.09051,-0.281419,0.012361
2M17055351+3410329,2001,256.472971,34.175819,302.5,-26.261801,0.009885,3725.519,62.899,4.8721,0.1235,5.17095,-0.306369,0.012138
2M17055416+2342434,2464,256.475668,23.712074,37.994,39.623402,0.089473,3537.44,83.529,4.8105,0.1187,6.17476,-0.213279,0.022307
2M17060972+2555194,2464,256.540533,25.922058,87.255,-26.355499,0.039611,3537.452,73.505,4.9977,0.1173,5.79589,-0.134039,0.017258
2M17061767+6438088,5765,256.573642,64.635788,391.11,-37.9179,0.009767,3568.813,61.642,4.9374,0.1365,7.32099,-0.558859,0.016103
2M17062654+2513552,2464,256.610619,25.232018,110.92,-32.695202,0.03196,3812.452,76.164,4.7888,0.1199,3.22849,-0.302449,0.015189
2M17063920+3526163,2244,256.663346,35.437885,76.742,-8.86529,0.043647,3590.803,80.805,4.8595,0.1154,5.85194,-0.132899,0.019001
2M17064532+3550451,2000,256.688863,35.845879,121.86,-56.515499,0.027066,3878.061,72.963,4.7522,0.1048,2.87707,0.106701,0.010443
2M17070039+3608505,2244,256.751632,36.147385,179.86,-39.905102,0.020993,3476.26,58.129,5.0889,0.1202,6.22487,-0.115499,0.012445
2M17070453+6709407,5765,256.768887,67.161308,135.03,-28.274799,0.023466,3207.029,70.445,5.1174,0.1394,9.00181,-0.549889,0.030545
2M17071398+3202301,2454,256.808271,32.041702,102.93,-29.567499,0.042605,3900.328,82.004,4.912,0.1235,4.144,-0.446939,0.017162
2M17071490+3502310,2001,256.812106,35.041962,131.42,-16.311899,0.031158,3598.047,70.597,4.8727,0.1332,5.71992,-0.536269,0.019217
2M17072819+6437283,5765,256.867474,64.624542,203.45,-37.275101,0.013274,3363.261,59.376,4.9092,0.1506,7.40321,-0.784549,0.02194
2M17073422+3349546,2386,256.892601,33.831837,230.21,-16.816099,0.013081,3681.357,60.874,4.8281,0.1172,4.39967,-0.117789,0.010764
2M17081073+3422052,2244,257.044718,34.368137,113.94,-2.77862,0.022444,3681.424,70.46,4.8652,0.1125,3.55959,-0.037472,0.013038
2M17082072+3240139,2386,257.086355,32.670547,70.861,18.919399,0.044194,3477.242,76.01,4.9848,0.1201,6.9931,-0.199299,0.020275
2M17083253+5617071,5757,257.135547,56.285324,97.222,-14.6492,0.061371,3399.721,76.786,4.6556,0.1276,24.08796,-0.364899,0.024888
2M17084415+5753022,5762,257.183985,57.883945,141.54,-17.3319,0.020713,3839.545,71.867,4.8639,0.1155,3.16039,-0.175989,0.012485
2M17084807+3558039,2244,257.200306,35.967762,78.791,-32.502701,0.053375,3497.212,71.992,5.0111,0.1145,6.50459,-0.039538,0.016486
2M17090131+3416194,2244,257.255494,34.272083,99.723,-28.5441,0.029829,3877.235,77.642,4.8043,0.1134,3.44628,-0.157039,0.013518
2M17090873+3157254,2003,257.286412,31.957067,69.209,-51.6427,0.031981,3586.57,83.887,4.6792,0.1249,6.16709,-0.389429,0.023645
2M17093529+3456470,2386,257.397059,34.9464,60.2,-27.9121,0.05039,3332.937,82.578,4.059,0.0467,8.42694,-0.699769,0.037111
2M17093728+3232001,2003,257.405357,32.533371,176.58,-37.452801,0.020025,3771.158,64.049,4.8099,0.114,4.923,-0.07804,0.010432
2M17093728+3232001,2386,257.405357,32.533371,129.65,-36.925999,0.02199,3777.462,72.754,4.7993,0.1134,3.62076,-0.103869,0.012969
2M17094268+3636507,2000,257.427864,36.614098,73.415,-101.313004,0.002899,3535.928,77.965,5.0846,0.1281,6.96546,-0.425879,0.022659
2M17101151+3416326,2000,257.547969,34.275734,116.34,-20.7817,0.032617,3910.402,77.141,4.8132,0.1171,1.81101,-0.266199,0.013828
2M17102481+3052423,2003,257.603396,30.878435,90.781,-33.3876,0.032031,3895.509,84.384,4.7578,0.11,1.66295,-0.095603,0.014687
2M17104456+3231107,2001,257.685675,32.51965,241.66,-59.971802,0.012246,3812.603,62.928,4.7926,0.1132,3.36682,-0.062702,0.0096428
2M17104900+3227242,2003,257.704178,32.456741,53.859,-48.206501,0.064591,3890.01,86.009,4.7119,0.1029,3.96196,0.107891,0.01351
